iter	Passed	Remaining
723	64323	24521
724	64399	24427
725	64476	24333
726	64556	24241
727	64628	24147
728	64703	24053
729	64783	23960
730	64856	23866
731	64932	23772
732	65004	23678
733	65081	23585
734	65154	23490
735	65232	23398
736	65306	23304
737	65387	23213
738	65469	23122
739	65559	23034
740	65638	22942
741	65720	22851
742	65799	22759
743	65883	22669
744	65961	22577
745	66041	22486
746	66125	22396
747	66210	22306
748	66291	22215
749	66374	22124
750	66463	22036
751	66554	21948
752	66642	21860
753	66727	21770
754	66815	21681
755	66903	21593
756	66996	21506
757	67087	21418
758	67177	21330
759	67263	21240
760	67347	21151
761	67436	21062
762	67529	20975
763	67621	20888
764	67707	20798
765	67789	20708
766	67878	20620
767	67964	20531
768	68048	20441
769	68145	20355
770	68233	20266
771	68318	20177
772	68406	20088
773	68498	20000
774	68588	19912
775	68674	19823
776	68764	19735
777	68849	19645
778	68936	19556
779	69019	19466
780	69099	19376
781	69178	19285
782	69264	19195
783	69347	19105
784	69430	19015
785	69518	18927
786	69627	18844
787	69724	18758
788	69823	18672
789	69908	18583
790	69989	18492
791	70070	18402
792	70150	18311
793	70228	18220
794	70309	18130
795	70394	18040
796	70480	17951
797	70566	17862
798	70649	17772
799	70728	17682
800	70811	17592
801	70892	17502
802	70980	17413
803	71072	17326
804	71180	17242
805	71280	17156
806	71373	17069
807	71461	16981
808	71550	16892
809	71640	16804
810	71724	16715
811	71807	16625
812	71887	16535
813	71971	16445
814	72059	16357
815	72153	16269
816	72262	16186
817	72422	16113
818	72544	16032
819	72631	15943
820	72712	15853
821	72792	15762
822	72869	15671
823	72951	15581
824	73035	15492
825	73119	15402
826	73205	15313
827	73287	15224
828	73369	15134
829	73464	15046
830	73574	14962
831	73669	14875
832	73761	14787
833	73845	14698
834	73922	14607
835	74001	14516
836	74079	14426
837	74160	14336
838	74243	14246
839	74330	14158
840	74418	14069
841	74507	13981
842	74592	13892
843	74677	13802
844	74761	13713
845	74850	13625
846	74950	13538
847	75049	13452
848	75147	13365
849	75238	13277
850	75324	13188
851	75407	13099
852	75489	13009
853	75567	12919
854	75641	12828
855	75723	12738
856	75808	12649
857	75895	12560
858	75992	12473
859	76103	12388
860	76207	12302
861	76302	12215
862	76399	12128
863	76493	12040
864	76583	11952
865	76664	11862
866	76752	11774
867	76837	11684
868	76924	11596
869	77018	11508
870	77108	11420
871	77207	11333
872	77318	11247
873	77435	11163
874	77541	11077
875	77647	10991
876	77747	10904
877	77845	10816
878	77939	10728
879	78053	10643
880	78169	10558
881	78277	10472
882	78378	10385
883	78481	10298
884	78580	10210
885	78666	10121
886	78762	10033
887	78852	9945
888	78943	9856
889	79038	9768
890	79135	9680
891	79258	9596
892	79373	9510
893	79471	9422
894	79571	9335
895	79654	9245
896	79740	9156
897	79831	9067
898	79924	8979
899	80016	8890
900	80105	8801
901	80192	8712
902	80289	8624
903	80398	8537
904	80515	8451
905	80634	8366
906	80731	8277
907	80811	8187
908	80885	8097
909	80969	8007
910	81060	7919
911	81150	7830
912	81233	7740
913	81317	7651
914	81409	7562
915	81516	7475
916	81714	7396
917	81806	7307
918	81894	7218
919	81983	7128
920	82071	7039
921	82161	6950
922	82253	6861
923	82342	6772
924	82428	6683
925	82522	6594
926	82610	6505
927	82698	6416
928	82791	6327
929	82884	6238
930	82970	6149
931	83071	6060
932	83173	5972
933	83273	5884
934	83369	5795
935	83464	5706
936	83547	5617
937	83622	5527
938	83699	5437
939	83772	5347
940	83850	5257
941	83924	5167
942	83996	5077
943	84070	4987
944	84145	4897
945	84219	4807
946	84295	4717
947	84369	4627
948	84449	4538
949	84534	4449
950	84609	4359
951	84684	4269
952	84761	4180
953	84834	4090
954	84911	4001
955	84993	3911
956	85066	3822
957	85141	3732
958	85214	3643
959	85289	3553
960	85363	3464
961	85443	3375
962	85522	3285
963	85600	3196
964	85676	3107
965	85751	3018
966	85829	2929
967	85905	2839
968	85990	2750
969	86071	2662
970	86152	2573
971	86234	2484
972	86314	2395
973	86397	2306
974	86482	2217
975	86571	2128
976	86652	2039
977	86736	1951
978	86812	1862
979	86893	1773
980	86972	1684
981	87055	1595
982	87137	1506
983	87218	1418
984	87303	1329
985	87385	1240
986	87470	1152
987	87557	1063
988	87638	974
989	87720	886
990	87802	797
991	87881	708
992	87964	620
993	88043	531
994	88126	442
995	88206	354
996	88285	265
997	88372	177
998	88460	88
999	88549	0
